ORF_ID,KO_ID,KO_Function,KO_Score,Secondary_KO_ID,Secondary_KO_Score
k127_837957_4,K00760,"hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]",157,,
k127_10701064_1,,,113,K10742,21
k127_5094362_1,,,14,K00962,9
k127_3641354_2,,,10,K00185,2
k127_4471989_3,K00912,lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130],188,,
k127_9870312_4,,,27,K07175,4
k127_2810730_6,K07015,yqeG; putative phosphatase [EC:3.1.3.-],101,,
k127_2083692_2,K08676,tri; tricorn protease [EC:3.4.21.-],204,,
k127_5094407_1,K19171,dndD; DNA sulfur modification protein DndD,18,,
k127_4990826_3,,,9,K18917,5
k127_8728829_2,,,15,K01666,2
k127_6860012_1,,,51,K16898,32
k127_8936317_1,K12132,"prkC, stkP; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]",67,,
k127_4575805_2,,,,,
k127_6652008_3,K08303,"prtC, trhP; U32 family peptidase [EC:3.4.-.-]",212,,
k127_4990861_1,,,8,K01354,5
k127_2499531_4,K01921,ddl; D-alanine-D-alanine ligase [EC:6.3.2.4],196,,
k127_2810767_1,,,10,K21090,3
k127_2810767_2,,,11,K16693,4
k127_10182287_1,,,197,,
k127_4263895_4,,,13,K06281,3
k127_630462_2,,,67,K07720,3
k127_10078473_1,,,87,K04084,83
k127_7638_3,,,12,K00632,3
k127_8625134_1,,,12,K01588,2
k127_8313134_1,K04773,sppA; protease IV [EC:3.4.21.-],21,,
k127_3329926_2,,,162,,
k127_1045446_3,,,12,K01784,4
k127_3848959_1,,,15,K02652,3
k127_3537254_3,,,61,K16087,4
k127_5302381_3,K01619,"deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]",221,,
k127_10078520_1,,,10,K07659,3
k127_10701217_1,,,12,K01940,3
k127_8417352_3,,,231,K21573,69
k127_8417352_4,,,9,K00254,5
k127_2395569_2,K07588,"MMAA, argK; GTPase [EC:3.6.5.-]",376,,
k127_4472134_1,,,72,K03581,48
k127_4472134_3,,,11,K19005,5
k127_3744945_1,,,17,K22769,3
k127_1565141_6,,,19,K07231,5
k127_5094538_2,,,28,K15921,13
k127_1045461_6,,,1003,,
k127_1875967_2,K02337,dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7],1624,,
k127_1875975_1,K02337,dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7],355,,
k127_1253184_4,,,15,K02018,2
k127_1253184_5,,,18,K04043,3
k127_3433546_1,K03502,umuC; DNA polymerase V,206,,
k127_6444644_1,K07272,rgpF; rhamnosyltransferase [EC:2.4.1.-],12,,
k127_11116530_1,K03695,clpB; ATP-dependent Clp protease ATP-binding subunit ClpB,791,,
k127_5717267_1,K01190,lacZ; beta-galactosidase [EC:3.2.1.23],230,,
k127_6548027_1,K03701,uvrA; excinuclease ABC subunit A,925,,
k127_9663000_1,,,12,K00998,2
k127_9039999_1,,,23,K07507,4
k127_630588_1,,,15,K03087,10
k127_6340775_1,,,14,K02322,2
k127_10701304_4,,,18,K12452,4
k127_5613848_4,,,19,K03695,4
k127_5613848_6,,,26,K06877,17
k127_4264031_1,K03169,topB; DNA topoisomerase III [EC:5.6.2.1],345,,
k127_4264031_2,K00426,cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7],30,,
k127_630614_2,K15727,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",124,K07798,27
k127_1460763_2,,,,,
k127_2810897_1,K01207,nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52],60,,
k127_1772332_2,,,12,K01007,3
k127_7379028_2,K03701,uvrA; excinuclease ABC subunit A,997,,
k127_7379028_10,K08307,"mltD, dniR; peptidoglycan lytic transglycosylase D [EC:4.2.2.29]",21,,
k127_10390098_1,,,145,,
k127_10390098_2,K00800,aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19],448,,
k127_10390098_3,K00831,"serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]",401,,
k127_10390098_4,K02469,gyrA; DNA gyrase subunit A [EC:5.6.2.2],863,,
k127_10390098_5,,,7,K01704,3
k127_10390098_6,K01952,"PFAS, purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]",235,,
k127_1045543_1,K13821,"putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]",33,,
k127_7790_2,K03553,recA; recombination protein RecA,308,,
k127_11323814_6,K00858,"ppnK, NADK; NAD+ kinase [EC:2.7.1.23]",187,,
k127_942014_3,K03531,ftsZ; cell division protein FtsZ,21,,
k127_9870556_1,K02188,cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195],167,,
k127_11012723_4,,,20,K08744,2
k127_11323830_1,K03234,EEF2; elongation factor 2,207,,
k127_2188160_1,,,25,K01874,4
k127_9767407_2,,,16,K08217,13
k127_4368216_1,,,112,K01997,3
k127_5821505_1,,,60,K15125,6
k127_5510540_1,,,18,K18918,5
k127_9974738_1,,,205,,
k127_10182502_3,K01791,wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14],173,,
k127_7690382_2,,,21,K01448,2
k127_9559872_1,K02519,"infB, MTIF2; translation initiation factor IF-2",675,,
k127_7379077_2,K07462,recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-],404,,
k127_1876099_3,,,25,K05372,3
k127_11220502_8,,,39,K02047,2
k127_3745055_1,,,19,K01364,5
k127_6029140_1,,,261,,
k127_6029140_5,,,20,K07264,12
k127_11323840_31,K03555,mutS; DNA mismatch repair protein MutS,801,,
k127_11323840_32,K03572,mutL; DNA mismatch repair protein MutL,380,,
k127_6133099_7,,,21,K00927,5
k127_8106469_3,K01817,trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24],117,K13498,11
k127_1565286_2,,,12,K02535,5
k127_11012775_2,,,12,K01662,2
k127_6652273_1,,,26,K06917,3
k127_4264126_1,,,16,K13735,3
k127_1149955_1,,,27,K19231,5
k127_9974789_4,,,25,K25289,3
k127_8106482_1,,,32,K01728,3
k127_6860231_2,,,29,K01784,2
k127_734108_2,K01956,"carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]",340,,
k127_10286133_4,K07133,K07133; uncharacterized protein,31,,
k127_10390177_5,,,210,,
k127_2395818_1,K18930,dld; D-lactate dehydrogenase,616,,
k127_7886_2,,,386,K21573,76
k127_10078806_1,,,10,K18831,4
k127_10078807_1,K10726,mcm; replicative DNA helicase Mcm [EC:5.6.2.3],316,,
k127_5821595_2,K06921,K06921; uncharacterized protein,161,,
k127_111087_3,,,16,K01897,2
k127_6340967_1,,,9,K03572,9
k127_111090_1,,,20,K00254,2
k127_4679734_2,K09001,anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170],259,,
k127_9767520_1,,,8,K03669,2
k127_3330247_2,,,28,K11386,2
k127_1253460_2,,,255,,
k127_4783653_2,,,9,K10010,4
k127_7794300_1,K03466,"ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",172,,
k127_7690551_1,K09458,"fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]",162,,
k127_7690551_3,,,11,K10112,2
k127_7690551_4,,,13,K02372,4
k127_7690551_5,,,14,K18954,3
k127_7690551_6,K07107,ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-],64,,
k127_7690551_7,,,152,,
k127_7690551_8,,,74,K05939,3
k127_7690551_9,,,9,K01996,7
k127_3433832_2,K01624,"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",314,,
k127_1876230_4,K03737,"por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]",2270,,
k127_422736_1,K02564,"nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]",21,,
k127_4991249_1,K03575,mutY; A/G-specific adenine glycosylase [EC:3.2.2.31],223,,
k127_7794320_7,,,12,K01889,2
k127_6133280_6,K02316,dnaG; DNA primase [EC:2.7.7.101],369,,
k127_3537579_1,K19170,dndC; DNA sulfur modification protein DndC,206,,
k127_4056769_1,,,250,K21573,102
k127_2292070_2,,,26,K02014,3
k127_2292070_3,,,12,K11907,7
k127_2707548_1,,,21,K01483,2
k127_2602951_3,K27882,"btsS; two-component system, LytTR family, low-concentration pyruvate sensor kinase [EC:2.7.13.3]",35,,
k127_2602951_4,,,,,
k127_4991262_3,K00243,K00243; uncharacterized protein,252,,
k127_2602952_3,,,10,K11206,2
k127_7067719_1,,,9,K01089,3
k127_5717581_2,,,32,K01187,6
k127_1668588_1,,,16,K03932,2
k127_11012909_2,K08641,vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22],180,,
k127_8210281_5,,,13,K00558,1
k127_10182740_2,,,151,K13004,35
k127_10182740_3,,,66,K19423,10
k127_1045769_2,,,22,K11031,19
k127_1045769_4,,,8,K01887,4
k127_1045769_8,,,21,K06973,3
k127_5717599_1,,,12,K21572,4
k127_2915025_2,K01297,ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13],197,,
k127_8833104_2,,,19,K01878,4
k127_8833104_3,K24847,rlhA; 23S rRNA 5-hydroxycytidine C2501 synthase,307,,
k127_8313532_2,,,11,K03529,2
k127_3018599_3,,,17,K07787,3
k127_630880_1,,,14,K02057,1
k127_9870860_2,,,143,,
k127_422823_2,,,22,K16087,2
k127_9767674_2,,,21,K00856,12
k127_9767674_3,,,9,K02032,4
k127_1357632_2,,,176,,
k127_10805737_1,K07386,pepO; putative endopeptidase [EC:3.4.24.-],339,,
k127_7379348_2,,,22,K21397,4
k127_7379348_3,,,16,K02363,5
k127_8625610_4,,,18,K18324,6
k127_5407076_9,,,18,K19273,2
k127_6756435_1,,,13,K01414,2
k127_6237013_1,,,13,K04487,3
k127_5407081_4,,,14,K03699,3
k127_7690662_2,,,71,K07263,47
k127_7898530_2,,,10,K01533,2
k127_7898530_3,,,17,K24336,10
k127_4887932_2,,,24,K01187,17
k127_5510836_3,K03655,recG; ATP-dependent DNA helicase RecG [EC:5.6.2.4],566,,
k127_5510836_5,K01192,"E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]",287,,
k127_7275706_2,K04763,xerD; integrase/recombinase XerD,67,K03733,8
k127_734377_1,K02470,gyrB; DNA gyrase subunit B [EC:5.6.2.2],421,,
k127_4264385_1,,,34,K01126,2
k127_4264385_2,,,24,K02621,2
k127_319380_1,,,8,K11072,6
k127_8417736_1,K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",613,,
k127_838555_2,,,16,K20276,2
k127_5302907_1,,,27,K03546,4
k127_7067876_1,,,26,K06217,3
k127_3330455_1,K19353,eptC; heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-],142,,
k127_3018710_1,,,10,K00703,4
k127_8936831_2,,,9,K03517,6
k127_5302930_3,K03415,"cheV; two-component system, chemotaxis family, chemotaxis protein CheV",231,,
k127_7482993_1,K05349,bglX; beta-glucosidase [EC:3.2.1.21],333,,
k127_1980447_2,,,,,
k127_1980453_3,,,11,K03657,4
k127_11013059_3,,,192,,
k127_3018729_2,,,22,K13735,3
k127_6860565_2,,,9,K03321,2
k127_10805864_1,K02316,dnaG; DNA primase [EC:2.7.7.101],209,,
k127_7483030_3,,,23,K26937,8
k127_7275779_1,,,13,K02012,2
k127_1253703_1,,,17,K01923,6
k127_7379465_1,,,25,K05367,3
k127_2603202_1,K23536,nupC; general nucleoside transport system permease protein,157,,
k127_2603202_2,K02529,"galR; LacI family transcriptional regulator, galactose operon repressor",45,,
k127_3018766_2,,,13,K06907,2
k127_3018766_3,K04760,greB; transcription elongation factor GreB,199,,
k127_4888036_1,,,37,K02406,5
k127_4576515_4,K07010,K07010; putative glutamine amidotransferase,145,,
k127_4783910_4,K00661,maa; maltose O-acetyltransferase [EC:2.3.1.79],86,K00633,19
k127_11013103_2,K03702,uvrB; excinuclease ABC subunit B,645,,
k127_5614307_2,,,24,K06961,1
k127_5717784_1,K07037,pgpH; cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-],17,,
k127_3018783_2,,,69,K27084,20
k127_9248482_8,K03590,ftsA; cell division protein FtsA,175,,
k127_1150359_1,K09952,"csn1, cas9; CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]",298,,
k127_2811365_2,,,15,K02501,4
k127_6133652_1,,,11,K01897,2
k127_4057091_2,K01190,lacZ; beta-galactosidase [EC:3.2.1.23],273,,
k127_2603259_2,K09014,sufB; Fe-S cluster assembly protein SufB,698,,
k127_215978_2,K02823,pyrDII; dihydroorotate dehydrogenase electron transfer subunit,175,,
k127_423044_1,,,18,K02248,3
k127_4368743_2,,,115,,
k127_4368743_3,K25307,"wzb, etp; low molecular weight protein-tyrosine phosphatase [EC:3.1.3.48]",117,,
k127_1876539_4,K03217,"yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase",185,,
k127_423052_1,K06990,MEMO1; MEMO1 family protein,32,K09141,18
k127_11013164_2,,,13,K00878,5
k127_11013164_3,,,19,K01890,3
k127_11013164_4,K01150,endA; deoxyribonuclease I [EC:3.1.21.1],235,,
k127_11013164_5,K07447,ruvX; putative pre-16S rRNA nuclease [EC:3.1.-.-],173,,
k127_11013164_8,K03655,recG; ATP-dependent DNA helicase RecG [EC:5.6.2.4],20,,
k127_6964153_1,K03427,hsdM; type I restriction enzyme M protein [EC:2.1.1.72],428,,
k127_10598141_1,,,218,,
k127_9352291_1,,,11,K08483,4
k127_10598167_2,,,13,K15726,2
k127_2707893_1,,,92,K04084,89
k127_319546_1,K00748,lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182],331,,
k127_319546_2,K04087,hflC; modulator of FtsH protease HflC,37,,
k127_8625855_1,,,15,K04042,6
k127_8625855_2,,,12,K04066,3
k127_5614381_3,K19294,algI; alginate O-acetyltransferase complex protein AlgI,201,,
k127_11324299_3,,,125,,
k127_3745543_3,K12071,traD; conjugal transfer pilus assembly protein TraD,41,,
k127_1461358_4,,,16,K00426,2
k127_1565696_1,K00700,"GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]",128,,
k127_6237244_3,,,12,K00088,3
k127_1565700_2,K07443,ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein,80,,
k127_1565700_3,,,7,K03594,3
k127_1565700_4,K06889,K06889; uncharacterized protein,359,,
k127_1565700_5,,,130,,
k127_1565700_6,K01431,"UPB1, pydC; beta-ureidopropionase [EC:3.5.1.6]",17,,
k127_11013216_2,,,12,K00123,2
k127_7379611_3,,,16,K07798,3
k127_5614402_1,K03070,secA; preprotein translocase subunit SecA [EC:7.4.2.8],54,K09858,4
k127_10598229_2,,,15,K01925,2
k127_2396286_7,K02316,dnaG; DNA primase [EC:2.7.7.101],252,,
k127_10286628_1,K02527,"kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]",95,,
k127_734614_2,,,26,K01638,3
k127_1461385_1,K02004,ABC.CD.P; putative ABC transport system permease protein,28,,
k127_8311_2,,,15,K03924,2
k127_6445340_1,,,7,K21572,6
k127_6445340_3,K06113,"abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]",11,,
k127_8210632_3,,,53,K02491,4
k127_8210632_4,K07001,K07001; NTE family protein,286,,
k127_7275969_1,,,14,K03664,3
k127_9352352_2,,,25,K02967,2
k127_8522015_1,,,15,K19163,3
k127_1772920_1,,,14,K02519,1
k127_1772920_2,,,18,K03531,2
k127_1150493_5,K06168,miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3],404,,
k127_9456494_1,K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",400,,
k127_423190_6,,,17,K02040,9
k127_8937068_1,,,265,K19509,7
k127_2915355_1,K06147,"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",31,,
k127_6964272_4,,,13,K03579,2
k127_7172098_1,K03601,xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6],175,,
k127_9560494_1,K03086,rpoD; RNA polymerase primary sigma factor,32,,
k127_10079389_1,K00971,"manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]",250,,
k127_8210701_1,,,17,K12132,11
k127_10702070_3,,,29,K18197,23
k127_3849708_3,K10112,"msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein [EC:7.5.2.-]",174,K02010,23
k127_3849708_4,K02025,ABC.MS.P; multiple sugar transport system permease protein,46,K05814,11
k127_1565798_2,K07091,lptF; lipopolysaccharide export system permease protein,22,,
k127_1565798_10,K03498,"trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",289,,
k127_1565798_11,K05349,bglX; beta-glucosidase [EC:3.2.1.21],123,K17641,31
k127_1357979_1,K12132,"prkC, stkP; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]",18,,
k127_4264668_1,K02118,"ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B",146,,
k127_9975361_1,K19353,eptC; heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-],119,,
k127_9768090_1,K04077,"groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]",14,,
k127_1150545_3,,,169,,
k127_3953656_3,,,19,K00548,5
k127_8313970_1,K03046,rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],824,,
k127_2396423_2,K07098,K07098; uncharacterized protein,137,,
k127_6652897_1,,,12,K01969,11
k127_111638_1,K21449,"ata, sadA, emaA; trimeric autotransporter adhesin",52,,
k127_9560547_1,,,305,,
k127_9871263_1,K01439,dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18],250,,
k127_6029795_2,,,18,K07109,3
k127_2292535_2,K01156,res; type III restriction enzyme [EC:3.1.21.5],22,,
k127_2292535_14,,,27,K03199,4
k127_6133898_1,K19294,algI; alginate O-acetyltransferase complex protein AlgI,178,,
k127_8937134_1,,,29,K01150,9
k127_4888285_10,,,13,K00612,3
k127_8626055_1,,,12,K07497,12
k127_11013411_3,K07124,K07124; uncharacterized protein,109,,
k127_5199401_5,,,518,K21573,51
k127_216229_1,,,14,K06313,3
k127_4888298_1,,,49,K07114,3
k127_9663753_3,K07085,K07085; putative transport protein,422,,
k127_2811650_1,K01179,E3.2.1.4; endoglucanase [EC:3.2.1.4],30,,
k127_4368910_3,,,14,K00833,2
k127_4368910_4,,,19,K07497,3
k127_4161228_2,K00282,gcvPA; glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2],371,,
k127_9663762_2,K02429,"fucP; MFS transporter, FHS family, L-fucose permease",266,,
k127_9768178_1,K12340,"tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein",17,,
k127_9768178_2,K01993,ABC-2.TX; HlyD family secretion protein,257,,
k127_9768178_4,K01992,ABC-2.P; ABC-2 type transport system permease protein,162,K25181,9
k127_8833574_1,,,11,K06858,4
k127_8833574_2,,,13,K14471,2
k127_5303311_1,K01892,"HARS, hisS; histidyl-tRNA synthetase [EC:6.1.1.21]",340,,
k127_4576860_2,K01902,sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],351,,
k127_1046320_1,K09014,sufB; Fe-S cluster assembly protein SufB,525,,
k127_4888344_1,,,20,K07505,14
k127_942787_4,,,34,K03328,10
k127_7068308_2,,,16,K11754,1
k127_7068308_6,K02535,lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108],133,K16363,75
k127_10702155_1,,,41,K27983,3
k127_4576878_2,K07126,K07126; uncharacterized protein,20,,
k127_5199466_2,,,24,K02380,2
k127_5199466_9,K16213,"cbe, mbe; cellobiose epimerase [EC:5.1.3.11]",25,,
k127_4888360_2,K03088,"rpoE; RNA polymerase sigma-70 factor, ECF subfamily",61,,
k127_10806253_1,,,13,K21237,5
k127_3849839_2,,,17,K07347,2
k127_1565926_2,,,,,
k127_3019085_1,,,14,K16079,2
k127_4680457_4,,,12,K02034,4
k127_9040763_1,,,9,K00930,2
k127_2811718_7,,,23,K13730,5
k127_6653079_3,,,9,K13929,4
k127_10286890_1,K08161,"mdtG, pmrA; MFS transporter, DHA1 family, multidrug resistance protein",264,,
k127_3642451_2,,,109,K02014,6
k127_5095479_2,,,14,K01256,8
k127_6548889_1,K01740,metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49],492,,
k127_5614723_2,,,59,K15461,3
k127_2292663_2,,,22,K15257,2
k127_6134041_6,,,142,K02033,3
k127_6134041_9,K07456,mutS2; DNA mismatch repair protein MutS2,468,,
k127_1876961_1,,,18,K00076,4
k127_1773235_4,K03609,minD; septum site-determining protein MinD,160,,
k127_2396674_2,,,14,K01784,2
k127_942908_1,K20074,"prpC, phpP; PPM family protein phosphatase [EC:3.1.3.16]",30,,
k127_11221275_1,K02906,"RP-L3, MRPL3, rplC; large subunit ribosomal protein L3",168,,
k127_942909_2,,,41,K03520,2
k127_1566021_2,,,30,K07217,2
k127_1980926_2,,,17,K03797,2
k127_1254137_2,,,37,K21134,5
k127_8729940_7,,,40,K07315,9
k127_4888493_2,,,10,K01185,6
k127_8937296_3,,,19,K01676,3
k127_6134107_2,,,7,K02283,6
k127_4473186_1,,,20,K05874,6
k127_9144935_1,,,36,K07486,24
k127_7483672_2,,,173,K01205,168
k127_6861202_1,K03596,lepA; GTP-binding protein LepA,695,,
k127_6030077_1,K07126,K07126; uncharacterized protein,186,,
k127_8418390_2,K07485,K07485; transposase,24,,
k127_1150810_3,,,9,K04753,4
k127_1150810_4,K02687,prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-],141,,
k127_4369142_1,,,16,K00281,2
k127_6549027_2,,,9,K12574,4
k127_6549027_4,,,13,K04773,5
k127_6549027_5,,,21,K03046,4
k127_6549027_7,,,13,K01488,2
k127_4991975_1,,,12,K03546,2
k127_1461777_1,,,10,K05851,7
k127_1877080_1,K11751,ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45],130,,
k127_3954002_6,K03086,rpoD; RNA polymerase primary sigma factor,152,,
k127_527568_1,K11928,putP; sodium/proline symporter,420,,
k127_3434670_2,K01835,pgm; phosphoglucomutase [EC:5.4.2.2],503,,
k127_5926527_7,,,124,,
k127_6964648_1,,,139,K10742,23
k127_6030154_1,,,438,,
k127_2189146_1,,,23,K01142,7
k127_2189146_2,K07059,rho2; rhomboid family protease [EC:3.4.21.105],113,,
k127_3331062_2,,,29,K26284,1
k127_9145021_1,K07496,K07496; putative transposase,45,,
k127_9145022_1,,,29,K06182,5
k127_5095666_8,,,15,K13292,3
k127_1254274_2,K03527,"ispH, lytB; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]",199,,
k127_9249127_3,,,10,K00123,3
k127_320091_2,K07478,ycaJ; putative ATPase,347,,
k127_8107520_2,K21572,"susD; starch-binding outer membrane protein, SusD/RagB family",60,,
k127_8107525_2,K03466,"ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",498,,
k127_10183661_1,,,107,K07114,5
k127_527633_1,,,13,K00974,2
k127_3746119_6,K02283,"cpaF, tadA; pilus assembly protein CpaF [EC:7.4.2.8]",365,,
k127_10806555_2,K09808,lolC_E_F; lipoprotein-releasing system permease protein,26,,
k127_5822578_4,,,72,K21019,8
k127_1254312_1,K01915,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",249,,
k127_4161559_2,,,28,K02237,5
k127_3850129_2,,,9,K02120,2
k127_10909941_1,,,15,K02170,2
k127_839346_9,,,9,K18979,7
k127_8626420_2,,,11,K18691,7
k127_5511613_2,,,16,K02469,6
k127_4473371_1,,,127,K01689,3
k127_4473371_3,K07391,comM; magnesium chelatase family protein,557,,
k127_3642742_1,,,17,K15580,2
k127_3227650_1,,,341,K21573,64
k127_10391323_1,K03406,mcp; methyl-accepting chemotaxis protein,137,,
k127_4265035_1,,,21,K07459,5
k127_4265038_5,K24847,rlhA; 23S rRNA 5-hydroxycytidine C2501 synthase,458,,
k127_2189276_3,K12960,mtaD; 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28],229,,
k127_2189276_5,K01897,"ACSL, fadD; long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]",186,,
k127_2189276_6,,,15,K08169,2
k127_2189276_9,K01258,pepT; tripeptide aminopeptidase [EC:3.4.11.4],311,,
k127_9664238_2,,,112,K05588,4
k127_6653458_2,K07301,yrbG; cation:H+ antiporter,248,,
k127_5303726_2,,,18,K00111,10
k127_6445910_1,,,28,K01198,9
k127_6757384_1,,,82,,
k127_6757384_2,,,12,K02446,5
k127_3954214_5,K07793,tctA; putative tricarboxylic transport membrane protein,296,,
k127_8626488_2,,,140,,
k127_3331231_1,K01139,"spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]",534,,
k127_10287284_2,,,20,K07263,13
k127_7795249_2,K00942,"gmk, GUK1; guanylate kinase [EC:2.7.4.8]",175,,
k127_10702572_2,,,12,K07486,2
k127_6757433_3,,,40,K19303,25
k127_9664309_1,,,23,K03529,6
k127_2501003_1,,,116,K19237,4
k127_2812096_2,,,46,K00754,6
k127_2604023_1,K01676,"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]",641,,
k127_1151059_9,,,33,K01091,5
k127_9871761_1,K03639,"moaA, CNX2; GTP 3',8-cyclase [EC:4.1.99.22]",17,,
k127_8418715_1,K12573,"rnr, vacB; ribonuclease R [EC:3.1.13.1]",19,,
k127_7587879_3,K00826,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]",375,,
k127_11013884_1,,,31,K03070,3
k127_6549337_8,,,24,K08309,11
k127_4161705_1,K12952,ctpE; cation-transporting P-type ATPase E [EC:7.2.2.-],541,,
k127_10080002_1,,,431,K04780,33
k127_4369398_1,,,13,K17203,3
k127_216817_3,,,20,K08978,9
k127_5615116_1,,,10,K07651,2
k127_1358486_2,K07133,K07133; uncharacterized protein,219,,
k127_7172695_1,,,13,K01638,4
k127_11324964_1,,,11,K03607,3
k127_7483998_5,,,400,K21573,100
k127_7483998_6,K21572,"susD; starch-binding outer membrane protein, SusD/RagB family",15,,
k127_1151114_1,,,169,,
k127_2293080_4,,,36,K05366,6
k127_9145263_1,K03324,yjbB; phosphate:Na+ symporter,317,,
k127_8107772_2,,,7,K03200,3
k127_6237998_1,,,12,K03336,3
k127_10495245_1,K16692,etk-wzc; tyrosine-protein kinase Etk/Wzc [EC:2.7.10.3],224,K16554,30
k127_9145271_3,K01424,"E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]",301,,
k127_1669650_3,,,47,K07657,3
k127_9249439_1,K04096,smf; DNA processing protein,200,,
k127_9249439_2,,,17,K03583,2
k127_9249439_5,,,28,K03311,5
k127_9249439_6,K01662,dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],556,,
k127_4265205_1,K07126,K07126; uncharacterized protein,103,,
k127_7587944_3,K01173,"ENDOG; endonuclease G, mitochondrial",122,,
k127_1046810_2,,,142,,
k127_9768809_8,,,29,K06985,6
k127_2189447_1,K01912,paaK; phenylacetate-CoA ligase [EC:6.2.1.30],11,,
